reporting_date,driver_id,age,gender,city,education_level,income,joining_date,last_working_date,joining_designation,grade,total_business_value,quarterly_rating,is_churned,tenure_months,prev_income,prev_bv,prev_rating,income_change_pct,bv_change_pct,rating_change,health_score,health_category
2019-01-01,1,28,0,C23,2,57387,2018-12-24,,1,1,2381060,2,0,2,,,,0.0,0.0,0.0,40.42,Watch List
2019-02-01,1,28,0,C23,2,57387,2018-12-24,,1,1,-665480,2,0,3,57387.0,2381060.0,2.0,0.0,-127.9488967098687,0.0,28.54,At Risk
2019-03-01,1,28,0,C23,2,57387,2018-12-24,2019-11-03,1,1,0,2,1,4,57387.0,-665480.0,2.0,0.0,0.0,0.0,41.67,Watch List
2020-11-01,2,31,0,C7,2,67016,2020-06-11,,2,2,0,1,0,6,,,,0.0,0.0,0.0,36.25,Watch List
2020-12-01,2,31,0,C7,2,67016,2020-06-11,,2,2,0,1,0,7,67016.0,0.0,1.0,0.0,0.0,0.0,36.88,Watch List
2019-12-01,4,43,0,C13,2,65603,2019-07-12,,2,2,0,1,0,6,,,,0.0,0.0,0.0,36.25,Watch List
2020-01-01,4,43,0,C13,2,65603,2019-07-12,,2,2,0,1,0,7,65603.0,0.0,1.0,0.0,0.0,0.0,36.88,Watch List
2020-02-01,4,43,0,C13,2,65603,2019-07-12,,2,2,0,1,0,8,65603.0,0.0,1.0,0.0,0.0,0.0,37.5,Watch List
2020-03-01,4,43,0,C13,2,65603,2019-07-12,,2,2,350000,1,0,9,65603.0,0.0,1.0,0.0,0.0,0.0,38.12,Watch List
2020-04-01,4,43,0,C13,2,65603,2019-07-12,2020-04-27,2,2,0,1,1,10,65603.0,350000.0,1.0,0.0,-100.0,0.0,26.25,At Risk
2019-01-01,5,29,0,C9,0,46368,2019-09-01,,1,1,0,1,0,-7,,,,0.0,0.0,0.0,32.5,At Risk
