driver_id,gender,age,education_level,city,joining_date,joining_designation
1,0,28,2,C23,2018-12-24,1
2,0,31,2,C7,2020-06-11,2
4,0,43,2,C13,2019-07-12,2
5,0,29,0,C9,2019-09-01,1
6,1,31,1,C11,2020-07-31,3
8,0,34,0,C2,2020-09-19,3
11,1,28,2,C19,2020-07-12,1
12,0,35,2,C23,2019-06-29,1
13,0,29,2,C19,2015-05-28,1
14,1,39,0,C26,2020-10-16,3
16,1,30,0,C23,2018-11-30,2
17,0,42,2,C20,2018-06-03,1
18,1,27,1,C17,2019-09-01,1
20,1,26,0,C19,2019-10-25,3
21,1,33,1,C29,2018-12-05,1
22,0,40,2,C10,2018-05-25,1
24,0,30,2,C24,2018-05-25,1
25,0,29,1,C24,2017-10-30,1
26,0,41,2,C14,2018-07-05,1
29,0,30,2,C13,2018-05-20,1
30,0,31,1,C6,2019-03-10,3
31,1,32,2,C28,2020-04-07,3
34,1,28,1,C14,2020-07-31,2
35,0,32,1,C5,2020-07-03,3
36,1,40,1,C18,2019-01-07,2
37,1,33,1,C14,2020-05-16,2
38,0,22,0,C27,2019-06-12,1
39,0,32,0,C26,2020-08-08,2
40,0,32,0,C15,2019-08-11,2
41,0,33,2,C29,2019-04-07,4
42,1,44,0,C28,2018-10-20,2
43,1,27,0,C15,2018-07-13,1
44,0,28,2,C17,2020-09-25,1
45,0,35,2,C8,2020-05-29,3
46,1,36,2,C25,2018-10-28,1
47,0,30,1,C21,2020-09-10,1
49,0,21,0,C20,2018-05-25,1
50,1,49,0,C5,2018-11-20,3
51,0,33,0,C14,2017-05-22,4
52,0,36,0,C19,2020-06-28,3
54,0,33,1,C29,2019-11-07,4
55,1,30,0,C8,2019-11-21,1
56,1,34,2,C19,2018-07-20,1
57,1,36,1,C1,2017-07-26,1
58,0,41,0,C4,2018-10-15,2
59,1,35,1,C18,2019-06-01,1
60,1,46,0,C20,2016-09-17,1
61,0,32,2,C11,2018-04-05,1
62,0,27,2,C9,2020-11-28,1
63,0,26,0,C6,2016-04-30,1
64,0,33,2,C27,2020-01-31,2
65,1,28,1,C7,2018-07-31,2
66,1,27,2,C4,2020-01-21,3
67,0,39,2,C28,2019-04-01,1
68,0,30,0,C29,2015-10-18,1
69,1,31,1,C7,2019-11-14,2
70,0,35,1,C20,2018-08-10,1
71,0,43,2,C20,2018-05-25,3
72,0,28,2,C14,2020-10-18,2
74,1,34,2,C5,2020-01-05,2
75,1,25,2,C18,2020-07-21,2
77,0,33,2,C3,2018-05-18,1
78,0,35,0,C21,2018-09-16,2
79,0,32,1,C14,2019-09-07,4
80,1,29,0,C7,2020-02-10,2
81,0,38,2,C9,2018-12-06,1
82,1,37,1,C24,2020-11-04,3
83,0,34,2,C23,2019-08-29,3
84,0,41,0,C16,2019-04-07,1
85,0,24,2,C22,2020-09-28,1
86,0,35,2,C2,2018-05-28,1
87,0,36,1,C6,2019-08-31,3
88,1,45,0,C3,2018-06-01,2
89,0,27,1,C2,2019-05-30,2
90,0,32,0,C22,2019-11-11,2
91,0,31,0,C21,2019-03-08,2
93,0,30,2,C17,2018-07-14,2
95,1,28,2,C14,2020-01-30,3
96,0,34,2,C12,2020-07-17,3
97,1,40,2,C2,2020-03-10,3
98,0,24,0,C16,2019-08-15,2
99,0,29,0,C23,2020-03-24,2
101,0,33,0,C10,2017-03-12,1
102,1,22,0,C12,2019-05-01,1
103,1,26,1,C28,2019-11-30,2
104,1,30,1,C23,2020-08-16,2
105,0,38,0,C4,2018-09-18,1
106,1,33,0,C22,2016-05-27,1
107,0,34,2,C9,2019-12-12,3
108,0,37,2,C22,2020-09-01,3
109,1,35,0,C6,2020-04-14,1
110,1,32,1,C16,2019-09-19,1
111,0,51,1,C13,2016-12-13,2
112,0,44,1,C29,2018-06-30,1
113,1,42,0,C10,2019-06-23,1
114,1,32,0,C19,2020-09-28,3
115,0,44,1,C1,2015-07-23,1
116,0,21,0,C11,2018-04-12,1
117,1,45,1,C1,2016-01-28,1
118,1,42,0,C27,2020-10-03,3
119,1,31,1,C29,2019-11-16,3
120,0,26,2,C14,2019-09-28,3
121,1,33,2,C13,2020-07-03,3
122,0,27,0,C26,2020-07-08,2
123,0,43,1,C24,2018-07-10,1
125,1,32,2,C10,2018-07-29,1
127,0,33,1,C28,2018-04-05,3
129,1,38,1,C6,2020-11-07,2
130,0,37,1,C28,2020-01-17,2
131,1,38,1,C19,2013-10-21,2
132,0,27,2,C20,2020-01-05,2
133,1,44,2,C23,2018-07-30,1
134,0,32,0,C27,2020-12-10,3
135,0,28,0,C22,2020-09-15,3
136,1,37,0,C10,2018-02-10,1
137,0,41,0,C28,2020-05-06,2
138,0,48,2,C21,2018-01-26,1
139,0,31,1,C14,2019-10-31,2
140,0,36,1,C9,2016-04-29,1
141,0,35,1,C22,2020-10-07,2
142,0,24,1,C16,2018-10-06,1
143,0,39,2,C12,2018-01-05,1
144,0,26,2,C28,2019-08-19,1
145,0,35,1,C13,2020-02-13,3
147,0,36,1,C9,2019-07-20,2
148,0,41,0,C15,2020-11-12,2
149,1,34,0,C20,2020-04-17,3
150,0,37,0,C17,2016-04-22,1
151,0,30,0,C15,2019-09-15,4
152,0,31,0,C17,2018-03-06,1
153,1,37,1,C22,2018-10-14,5
154,0,30,1,C21,2020-03-07,1
155,0,27,1,C26,2017-10-09,2
156,1,41,1,C9,2018-01-07,1
158,0,26,1,C22,2020-03-07,1
159,1,43,1,C4,2017-07-21,1
161,0,37,2,C25,2018-06-19,1
162,0,35,1,C2,2019-10-31,3
163,0,29,0,C6,2020-08-05,1
164,1,36,0,C26,2019-06-17,1
165,1,25,2,C21,2018-10-16,2
167,0,26,1,C18,2018-02-03,1
168,0,25,2,C15,2019-07-10,2
169,0,33,2,C14,2018-01-05,2
170,0,35,2,C7,2019-04-07,3
171,1,43,1,C23,2018-08-24,2
172,1,41,2,C6,2017-07-11,2
173,0,37,0,C28,2014-06-13,1
174,1,39,1,C21,2018-07-27,1
175,0,30,0,C13,2018-09-22,1
176,0,33,0,C15,2020-04-05,1
177,0,30,1,C4,2018-12-14,1
178,1,23,0,C7,2018-11-09,2
179,1,26,2,C11,2018-05-26,1
180,0,34,1,C29,2018-06-26,2
181,1,30,2,C17,2020-06-11,3
182,0,32,2,C22,2020-01-13,1
183,1,26,2,C23,2019-03-11,1
184,1,33,2,C21,2020-12-04,2
185,0,29,0,C1,2016-11-30,1
187,0,34,1,C26,2019-02-11,2
188,0,33,0,C12,2019-11-15,2
190,1,35,0,C1,2018-07-11,4
191,1,26,2,C11,2019-12-19,3
192,1,37,1,C9,2020-10-04,3
193,0,46,2,C26,2018-07-05,1
194,0,30,0,C8,2020-06-28,2
195,0,27,0,C18,2020-09-28,1
196,0,43,1,C14,2020-05-29,3
197,0,40,1,C25,2013-10-16,2
199,0,29,0,C14,2016-12-16,1
200,0,46,1,C8,2019-11-28,3
201,1,38,0,C5,2019-05-30,3
202,0,33,0,C28,2020-10-30,1
203,1,33,2,C4,2019-04-07,3
204,1,31,0,C14,2017-05-12,1
205,0,39,0,C12,2020-12-20,1
206,1,26,0,C10,2020-09-28,1
207,0,32,0,C29,2018-09-05,3
208,0,31,2,C16,2019-06-01,1
210,0,37,2,C29,2020-03-05,3
211,1,34,2,C6,2020-05-06,3
213,0,35,0,C24,2018-05-09,2
215,1,25,1,C15,2019-07-19,1
216,0,29,1,C20,2019-04-07,2
217,0,31,1,C10,2016-05-20,1
218,0,24,0,C21,2020-07-31,1
219,0,35,0,C5,2018-11-05,2
220,1,37,1,C18,2013-11-20,2
221,0,31,0,C3,2018-12-29,1
222,0,26,0,C2,2019-12-09,3
223,0,25,0,C20,2018-08-24,2
225,1,32,0,C14,2020-07-13,3
226,1,36,1,C18,2019-09-11,2
227,1,44,2,C29,2020-01-05,3
228,0,44,2,C6,2016-07-25,1
229,0,43,0,C28,2019-03-08,4
230,0,33,0,C25,2018-10-13,2
231,0,32,1,C5,2018-10-22,1
232,0,34,2,C15,2018-03-07,1
233,1,36,1,C27,2020-06-28,3
234,1,26,1,C23,2020-02-01,2
235,1,39,0,C16,2018-08-10,1
237,0,32,0,C10,2020-04-09,3
238,0,32,0,C20,2020-01-14,2
241,0,24,0,C1,2018-12-11,1
242,0,28,0,C21,2019-03-11,1
243,0,26,2,C4,2020-08-14,3
244,0,39,2,C20,2018-04-05,1
245,0,38,2,C23,2020-11-09,2
246,0,42,1,C10,2016-12-13,1
247,1,39,0,C4,2020-06-14,2
252,0,35,2,C24,2018-06-16,1
256,0,21,0,C10,2018-10-19,1
257,0,30,1,C29,2019-12-14,3
258,0,29,0,C13,2020-03-05,1
260,0,29,1,C24,2019-10-31,1
261,1,41,2,C20,2018-07-27,3
262,1,28,1,C2,2019-01-16,2
263,0,24,0,C6,2020-12-10,1
264,0,25,2,C11,2020-12-18,1
265,0,34,1,C3,2020-05-30,1
266,0,42,1,C16,2017-10-17,1
267,0,35,0,C5,2019-07-10,3
268,1,30,1,C6,2019-01-06,1
270,0,36,1,C11,2020-04-05,3
271,0,38,2,C29,2020-05-29,4
272,0,35,1,C5,2019-05-30,2
273,0,29,1,C16,2020-08-30,1
274,0,39,1,C7,2020-12-20,2
275,0,39,0,C20,2016-02-05,1
276,1,29,1,C23,2020-06-30,3
278,0,34,0,C2,2016-10-21,1
279,1,28,0,C2,2019-02-11,1
280,1,32,2,C6,2013-12-10,4
281,1,42,1,C20,2020-10-10,3
282,1,29,0,C21,2020-08-16,2
283,1,27,2,C29,2020-10-11,2
284,0,34,2,C20,2020-03-01,2
286,1,30,1,C24,2020-07-13,2
287,1,30,0,C7,2020-05-22,1
288,1,41,0,C17,2020-12-18,2
289,0,29,0,C3,2020-07-18,2
290,1,25,1,C5,2019-07-28,1
291,1,27,2,C20,2018-12-02,2
292,1,33,2,C29,2020-05-07,3
293,1,28,1,C11,2016-02-12,1
294,0,36,0,C21,2020-10-10,1
295,1,29,0,C8,2019-05-01,2
296,1,30,1,C20,2018-10-06,1
297,0,38,2,C8,2020-12-19,3
298,0,38,0,C20,2019-12-09,3
299,1,36,0,C28,2019-08-20,1
303,0,42,1,C28,2015-10-15,1
305,0,24,0,C9,2018-08-26,1
306,1,31,0,C4,2020-11-29,2
307,0,37,0,C26,2018-05-10,2
308,0,30,2,C5,2014-08-15,2
309,1,30,1,C5,2020-11-12,3
310,1,27,2,C3,2020-11-12,1
312,0,34,0,C16,2020-03-18,2
313,1,31,0,C15,2020-04-18,3
315,1,29,2,C9,2020-12-09,3
316,0,47,2,C12,2018-09-19,1
317,0,34,1,C5,2019-06-17,2
318,1,33,1,C3,2019-10-18,1
319,0,30,2,C27,2020-02-01,3
320,1,27,0,C20,2018-07-13,1
321,1,26,1,C25,2019-10-31,1
322,1,41,0,C6,2019-06-15,2
323,1,29,2,C29,2020-06-01,2
